epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.746,0.61345,2.3045,0.99638,0.79738,0.6905,0.76899,0.59175,0.57637,9.01111,0.96282,0.000662281,0.000662281,0.000662281
2,268.502,0.74727,2.06833,1.02186,0.41237,0.57895,0.44479,0.26065,0.76109,7.87765,1.23755,0.00131579,0.00131579,0.00131579
3,401.649,0.79493,1.74629,1.07716,0.5482,0.35088,0.38437,0.28579,0.8985,7.48733,1.26123,0.0019561,0.0019561,0.0019561
4,534.44,0.85852,2.1758,1.09279,0.53209,0.64912,0.53252,0.38124,0.78188,5.6091,1.21168,0.0019406,0.0019406,0.0019406
5,672.724,0.88862,1.89304,1.1362,0.65468,0.59872,0.66651,0.44666,0.83788,6.20661,1.26603,0.0019208,0.0019208,0.0019208
6,811.913,0.82807,1.74237,1.10029,0.68151,0.75439,0.71143,0.51396,0.73863,6.10796,1.18815,0.001901,0.001901,0.001901
