epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.433,0.73677,1.95574,1.10473,0.75139,0.81545,0.82838,0.59427,0.92968,2.01897,1.3771,0.000663043,0.000663043,0.000663043
2,500.944,0.93951,1.59675,1.22383,0.61083,0.53648,0.59365,0.42931,1.17314,2.54348,1.54102,0.00131655,0.00131655,0.00131655
3,747.514,0.98226,1.53255,1.24416,0.74216,0.70417,0.77262,0.55077,1.08639,1.95182,1.48935,0.00195685,0.00195685,0.00195685
4,994.377,1.04283,1.47424,1.29505,0.85346,0.75966,0.84701,0.60312,1.00145,1.74194,1.46565,0.0019406,0.0019406,0.0019406
5,1239.09,0.96924,1.31639,1.24993,0.84069,0.72476,0.81575,0.58478,1.07247,1.47896,1.49442,0.0019208,0.0019208,0.0019208
6,1483.61,0.95025,1.20659,1.23575,0.76246,0.70386,0.79087,0.57395,1.05665,1.42398,1.44595,0.001901,0.001901,0.001901
7,1727.23,0.9594,1.147,1.2392,0.79201,0.79828,0.83016,0.63781,1.017,1.25961,1.41668,0.0018812,0.0018812,0.0018812
8,1971.18,0.87838,1.04874,1.19293,0.84221,0.81116,0.88379,0.68412,0.89099,1.1296,1.31587,0.0018614,0.0018614,0.0018614
9,2215.87,0.8762,1.071,1.18349,0.8691,0.82637,0.88848,0.6616,0.95693,1.07707,1.37007,0.0018416,0.0018416,0.0018416
10,2459.85,0.84666,0.96992,1.17107,0.82463,0.74678,0.83123,0.64278,0.86415,1.13011,1.29007,0.0018218,0.0018218,0.0018218
11,2703.63,0.79851,0.93449,1.15286,0.86757,0.8435,0.87946,0.70792,0.7911,0.99478,1.25429,0.001802,0.001802,0.001802
12,2947.36,0.79751,0.8826,1.13451,0.87167,0.86266,0.89873,0.71458,0.82777,0.91702,1.26567,0.0017822,0.0017822,0.0017822
13,3190.96,0.79583,0.89286,1.13887,0.83357,0.897,0.89855,0.72224,0.83429,0.87719,1.29952,0.0017624,0.0017624,0.0017624
14,3434.66,0.77227,0.89087,1.14001,0.62296,0.46802,0.475,0.33713,1.21618,2.19074,1.64818,0.0017426,0.0017426,0.0017426
15,3678.19,0.78837,0.85918,1.14782,0.82099,0.86608,0.87172,0.68492,0.84268,0.94684,1.29629,0.0017228,0.0017228,0.0017228
16,3921.88,0.74705,0.79103,1.11134,0.91066,0.87493,0.92387,0.72663,0.81744,0.87028,1.23353,0.001703,0.001703,0.001703
17,4165.6,0.75969,0.79341,1.12571,0.90566,0.90642,0.92766,0.76604,0.79685,0.84192,1.29426,0.0016832,0.0016832,0.0016832
18,4409.41,0.75678,0.79428,1.13596,0.87735,0.88841,0.92169,0.74908,0.75041,0.8137,1.18822,0.0016634,0.0016634,0.0016634
19,4652.9,0.69976,0.753,1.07833,0.89815,0.87049,0.91502,0.75588,0.71829,0.75717,1.1798,0.0016436,0.0016436,0.0016436
20,4896.88,0.72421,0.75016,1.09305,0.89893,0.91616,0.9293,0.77298,0.74339,0.77294,1.19696,0.0016238,0.0016238,0.0016238
21,5140.33,0.69734,0.72659,1.09006,0.88684,0.87449,0.90997,0.74074,0.81217,0.86863,1.34014,0.001604,0.001604,0.001604
22,5383.81,0.71805,0.72307,1.09986,0.9194,0.88412,0.92943,0.7749,0.71557,0.78852,1.1935,0.0015842,0.0015842,0.0015842
23,5627.73,0.69147,0.72177,1.09058,0.91439,0.93562,0.94831,0.7884,0.69425,0.65616,1.16662,0.0015644,0.0015644,0.0015644
24,5871.66,0.67224,0.70341,1.07375,0.92365,0.88412,0.92039,0.78354,0.70677,0.69835,1.20326,0.0015446,0.0015446,0.0015446
25,6115.3,0.69248,0.70781,1.08729,0.92475,0.89666,0.92936,0.75487,0.79554,0.74863,1.27305,0.0015248,0.0015248,0.0015248
26,6359.92,0.67144,0.67193,1.06952,0.90274,0.91623,0.93843,0.7882,0.70152,0.7203,1.16209,0.001505,0.001505,0.001505
27,6603.5,0.65735,0.64418,1.07612,0.92004,0.92704,0.94044,0.79827,0.73136,0.67811,1.23152,0.0014852,0.0014852,0.0014852
28,6847.47,0.62636,0.63153,1.05641,0.92653,0.92018,0.93829,0.78377,0.69104,0.68667,1.14981,0.0014654,0.0014654,0.0014654
29,7091.14,0.65937,0.64927,1.07469,0.87873,0.93294,0.91925,0.77808,0.66511,0.64614,1.13515,0.0014456,0.0014456,0.0014456
30,7335.08,0.64631,0.65365,1.07618,0.91024,0.90558,0.93706,0.81526,0.6472,0.68739,1.15249,0.0014258,0.0014258,0.0014258
31,7578.72,0.64304,0.63934,1.06574,0.89855,0.92275,0.9228,0.78901,0.6316,0.72773,1.13607,0.001406,0.001406,0.001406
32,7822.37,0.64694,0.64294,1.07787,0.86947,0.91479,0.932,0.803,0.66762,0.70342,1.1508,0.0013862,0.0013862,0.0013862
33,8065.96,0.62365,0.60439,1.03027,0.92271,0.92222,0.93612,0.82739,0.6152,0.62513,1.11048,0.0013664,0.0013664,0.0013664
34,8309.54,0.59262,0.58236,1.03728,0.9184,0.91782,0.94122,0.80487,0.63549,0.64014,1.12232,0.0013466,0.0013466,0.0013466
35,8552.79,0.64031,0.62677,1.07495,0.92529,0.90558,0.95212,0.83287,0.60548,0.62986,1.08895,0.0013268,0.0013268,0.0013268
36,8796.55,0.62242,0.59243,1.05972,0.90521,0.94265,0.93414,0.81353,0.64215,0.61371,1.12541,0.001307,0.001307,0.001307
37,9040.49,0.6164,0.60263,1.05121,0.93988,0.87983,0.93375,0.81361,0.63107,0.66556,1.10276,0.0012872,0.0012872,0.0012872
38,9285.01,0.61573,0.61909,1.05313,0.93132,0.93117,0.95468,0.83469,0.58643,0.58726,1.06933,0.0012674,0.0012674,0.0012674
39,9529.3,0.59401,0.56659,1.03583,0.92765,0.90558,0.93106,0.79243,0.65919,0.68536,1.1664,0.0012476,0.0012476,0.0012476
40,9772.75,0.59763,0.57377,1.03379,0.93554,0.93437,0.95874,0.84297,0.59528,0.60202,1.11609,0.0012278,0.0012278,0.0012278
41,10017.4,0.58377,0.57719,1.04022,0.9603,0.93427,0.96116,0.84404,0.60895,0.5844,1.06919,0.001208,0.001208,0.001208
42,10261.6,0.5776,0.58129,1.04267,0.94309,0.9246,0.96152,0.85678,0.58449,0.5966,1.05939,0.0011882,0.0011882,0.0011882
43,10505.7,0.58094,0.55432,1.02525,0.93934,0.93052,0.95463,0.83215,0.59901,0.58247,1.06558,0.0011684,0.0011684,0.0011684
44,10749.6,0.59335,0.55168,1.04316,0.95265,0.93133,0.95035,0.83606,0.5693,0.58172,1.05263,0.0011486,0.0011486,0.0011486
45,10993.4,0.60633,0.55086,1.05121,0.92189,0.92704,0.94363,0.81741,0.60702,0.60557,1.08063,0.0011288,0.0011288,0.0011288
46,11237.7,0.56659,0.52251,1.01492,0.93418,0.91416,0.95159,0.83952,0.58393,0.57212,1.03706,0.001109,0.001109,0.001109
47,11481.9,0.56868,0.53268,1.03103,0.93881,0.92183,0.94202,0.82572,0.58152,0.58873,1.04336,0.0010892,0.0010892,0.0010892
