epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.885,0.69839,2.8565,1.06753,0.47662,0.52941,0.50276,0.37226,0.6817,3.15936,1.11691,0.000661064,0.000661064,0.000661064
2,222.057,0.97108,2.73571,1.23672,0.22479,0.33824,0.1786,0.08674,1.60396,4.61202,1.94112,0.00131459,0.00131459,0.00131459
3,330.998,1.02963,2.74659,1.23342,0.47071,0.47059,0.50238,0.30742,1.13261,4.08978,1.8423,0.00195491,0.00195491,0.00195491
4,439.695,1.14196,2.90772,1.31875,0.38669,0.51471,0.4183,0.20902,1.35342,3.34523,1.97948,0.0019406,0.0019406,0.0019406
5,548.674,1.04698,2.44885,1.24236,0.65906,0.63235,0.65425,0.38978,0.95365,2.46123,1.45893,0.0019208,0.0019208,0.0019208
6,657.596,1.09999,2.29975,1.29299,0.53002,0.61765,0.5455,0.3877,0.83451,2.45527,1.24271,0.001901,0.001901,0.001901
7,766.114,1.04865,2.06067,1.26896,0.49356,0.64706,0.55252,0.35003,0.96553,2.83497,1.29167,0.0018812,0.0018812,0.0018812
8,874.583,1.03788,1.95708,1.25803,0.7624,0.77941,0.80613,0.57924,0.83094,2.10583,1.29062,0.0018614,0.0018614,0.0018614
9,983.598,1.01015,2.00747,1.26638,0.78264,0.66176,0.72968,0.52985,0.86847,2.00567,1.28409,0.0018416,0.0018416,0.0018416
10,1092.4,1.11018,1.97585,1.31604,0.81201,0.73529,0.85695,0.65297,0.71819,1.85579,1.18793,0.0018218,0.0018218,0.0018218
11,1205.61,0.99994,1.76648,1.22292,0.85242,0.66176,0.77534,0.60628,0.73569,1.81088,1.1461,0.001802,0.001802,0.001802
12,1314.59,0.97759,1.61967,1.19383,0.79797,0.75514,0.8167,0.60505,0.77568,2.8188,1.20447,0.0017822,0.0017822,0.0017822
13,1423.31,1.02213,1.77976,1.22268,0.73038,0.70588,0.76895,0.55117,0.84171,1.59148,1.25894,0.0017624,0.0017624,0.0017624
14,1531.8,0.87147,1.51305,1.17155,0.70635,0.79412,0.79669,0.49974,0.87873,1.41708,1.32685,0.0017426,0.0017426,0.0017426
15,1640.41,0.89272,1.39787,1.15541,0.77421,0.75641,0.78813,0.61841,0.76488,1.33769,1.16164,0.0017228,0.0017228,0.0017228
