epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.317,0.58834,2.60667,0.94316,0.41137,0.45588,0.38453,0.30864,0.57577,2.78109,1.01154,0.000662252,0.000662252,0.000662252
2,281.67,0.77646,2.66999,1.01884,0.5586,0.61418,0.61664,0.48178,0.67951,2.54569,1.18845,0.00131576,0.00131576,0.00131576
3,420.677,0.87166,2.65138,1.09293,0.017,0.31985,0.01031,0.00336,2.51488,24.4241,3.79608,0.00195607,0.00195607,0.00195607
4,553.782,0.92092,2.48992,1.12844,0.60936,0.73409,0.59097,0.40685,0.97632,2.65859,1.43291,0.0019406,0.0019406,0.0019406
5,685.522,1.02634,2.35108,1.17519,0.55485,0.58824,0.63333,0.3812,1.06893,2.90965,1.52616,0.0019208,0.0019208,0.0019208
6,821.76,0.92112,2.36451,1.1414,0.66903,0.70588,0.66327,0.44215,0.85036,3.01615,1.24005,0.001901,0.001901,0.001901
7,957.196,0.91844,1.79515,1.09053,0.75389,0.72059,0.78062,0.5632,0.82658,2.01099,1.25272,0.0018812,0.0018812,0.0018812
8,1089.35,0.90234,2.04435,1.08668,0.71161,0.79835,0.8125,0.61815,0.8396,2.26078,1.25544,0.0018614,0.0018614,0.0018614
9,1226.82,0.89861,1.90897,1.11881,0.83159,0.72624,0.85783,0.62056,0.7664,2.10611,1.25466,0.0018416,0.0018416,0.0018416
10,1365.22,0.86199,1.63529,1.06211,0.75695,0.76471,0.83116,0.67385,0.70126,1.503,1.15179,0.0018218,0.0018218,0.0018218
11,1506.4,0.79927,1.5715,1.02704,0.75499,0.77041,0.84042,0.65808,0.74113,1.4989,1.2363,0.001802,0.001802,0.001802
12,1637.49,0.81657,1.55488,1.06974,0.8621,0.82353,0.91327,0.74272,0.67791,1.38023,1.10151,0.0017822,0.0017822,0.0017822
13,1769.17,0.77775,1.45608,1.06085,0.90696,0.89706,0.95902,0.7964,0.61787,1.24909,1.04512,0.0017624,0.0017624,0.0017624
14,1900.61,0.70907,1.37481,0.99732,0.95152,0.88235,0.96747,0.784,0.64255,1.17537,1.13385,0.0017426,0.0017426,0.0017426
15,2032.05,0.74729,1.22263,1.03576,0.93611,0.95588,0.97277,0.79978,0.63495,0.94467,1.08713,0.0017228,0.0017228,0.0017228
16,2163.45,0.703,1.27286,0.98533,0.90985,0.83824,0.94221,0.7493,0.63419,1.21962,1.05521,0.001703,0.001703,0.001703
17,2294.76,0.73066,1.35311,0.98505,0.90633,0.88235,0.96243,0.81975,0.54809,1.16854,1.01992,0.0016832,0.0016832,0.0016832
18,2425.4,0.73094,1.16356,1.00998,0.97146,0.76471,0.85531,0.68612,0.69957,1.57356,1.1833,0.0016634,0.0016634,0.0016634
19,2555.73,0.71165,1.13765,1.0181,0.91772,0.86765,0.95551,0.77671,0.64196,0.99176,1.10166,0.0016436,0.0016436,0.0016436
20,2686.39,0.70999,1.04131,1.00988,0.93906,0.90649,0.9809,0.82498,0.56795,0.8591,1.04035,0.0016238,0.0016238,0.0016238
21,2819.13,0.66464,1.0342,1.00828,0.93676,0.91176,0.96886,0.79905,0.57533,1.00555,1.03765,0.001604,0.001604,0.001604
22,2951.17,0.6679,1.04341,0.99315,0.84464,0.89706,0.94792,0.80354,0.56918,0.90249,1.0084,0.0015842,0.0015842,0.0015842
23,3082.06,0.75118,1.1392,1.01282,0.87936,0.86765,0.94286,0.77613,0.63633,1.05274,1.07258,0.0015644,0.0015644,0.0015644
24,3214.61,0.66466,0.92031,0.97929,0.89735,0.89988,0.96081,0.84855,0.49784,0.81935,0.95595,0.0015446,0.0015446,0.0015446
25,3346.13,0.64681,0.96995,0.98118,0.90298,0.91176,0.9649,0.82026,0.54958,0.91241,1.00105,0.0015248,0.0015248,0.0015248
26,3481.15,0.64044,1.01682,0.95566,0.97275,0.88235,0.97908,0.82751,0.56181,0.82387,1.04893,0.001505,0.001505,0.001505
27,3614.29,0.65799,0.95215,0.99004,0.88724,0.94118,0.966,0.86158,0.4818,1.27778,0.98193,0.0014852,0.0014852,0.0014852
28,3746.05,0.61983,1.01421,0.95589,0.94674,0.78422,0.88373,0.76538,0.53929,1.1388,0.98436,0.0014654,0.0014654,0.0014654
29,3877.52,0.57577,0.85642,0.94499,0.94147,0.94628,0.99093,0.85897,0.50208,0.69175,0.97458,0.0014456,0.0014456,0.0014456
30,4008.95,0.59521,0.90501,0.9433,0.93479,0.95588,0.98129,0.87514,0.4931,0.72002,0.95867,0.0014258,0.0014258,0.0014258
31,4140.34,0.56656,0.99237,0.93137,0.96811,0.89706,0.98277,0.89112,0.43279,0.82049,0.91205,0.001406,0.001406,0.001406
32,4271.33,0.60672,0.83103,0.97049,0.96658,0.94118,0.98689,0.85759,0.47707,0.69127,0.93703,0.0013862,0.0013862,0.0013862
33,4402.47,0.5921,0.91567,0.94535,0.97444,0.94118,0.98341,0.85717,0.54609,0.71007,1.01967,0.0013664,0.0013664,0.0013664
34,4533.48,0.57581,0.96316,0.95816,0.97896,0.94118,0.98412,0.88755,0.43649,0.64584,0.92762,0.0013466,0.0013466,0.0013466
35,4664.24,0.54589,0.85667,0.94133,0.98427,0.92039,0.97533,0.89236,0.41249,1.02388,0.90955,0.0013268,0.0013268,0.0013268
36,4794.88,0.62152,1.06263,0.97074,0.90824,0.85294,0.96891,0.84984,0.46943,0.82474,0.9483,0.001307,0.001307,0.001307
37,4925.7,0.56027,0.92906,0.92347,0.84516,0.91176,0.95006,0.83374,0.45005,0.8773,0.93594,0.0012872,0.0012872,0.0012872
38,5056.72,0.56505,0.88973,0.91141,0.90128,0.93983,0.97134,0.87595,0.40956,0.65557,0.9159,0.0012674,0.0012674,0.0012674
39,5188.16,0.5719,0.86914,0.92439,0.94128,0.94299,0.98096,0.87076,0.46179,0.83902,0.96104,0.0012476,0.0012476,0.0012476
40,5319.15,0.59578,0.86112,0.93943,0.93104,0.99273,0.98456,0.86986,0.45944,0.75799,0.93926,0.0012278,0.0012278,0.0012278
