epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.874,1.30776,2.92853,1.57203,0.61065,0.60294,0.6646,0.41948,0.92906,2.61582,1.48374,0.000658333,0.000658333,0.000658333
2,224.21,1.22163,2.23334,1.5106,0.47181,0.73529,0.6277,0.39415,1.16859,3.29462,1.78154,0.00131188,0.00131188,0.00131188
3,337.189,1.33219,2.50943,1.57628,0.60037,0.44118,0.51208,0.28865,1.10858,3.10331,1.76472,0.00195223,0.00195223,0.00195223
4,452.617,1.35637,2.34198,1.61046,0.37328,0.46426,0.32787,0.12124,1.76092,3.75196,2.54905,0.0019406,0.0019406,0.0019406
5,567.733,1.3808,2.284,1.58927,0.31924,0.26471,0.23658,0.09977,1.864,4.06738,2.53701,0.0019208,0.0019208,0.0019208
6,685.056,1.37012,2.29807,1.65877,0.32601,0.33824,0.24025,0.0892,1.98294,3.14351,2.56988,0.001901,0.001901,0.001901
