epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.776,2.47916,3.97938,2.63911,0.00284,0.85294,0.05378,0.01179,2.83134,4.5481,3.5009,0.000658333,0.000658333,0.000658333
2,227.452,2.36929,3.61778,2.61989,0.07771,0.11765,0.04468,0.00748,3.06147,4.18589,3.43866,0.00131188,0.00131188,0.00131188
3,340.137,2.46738,3.91953,2.69463,0.01106,0.52941,0.01365,0.00307,3.03803,4.58005,3.77206,0.00195223,0.00195223,0.00195223
4,450.487,2.41409,3.4611,2.70442,0.0051,0.80882,0.0189,0.0035,3.13383,4.4677,3.65583,0.0019406,0.0019406,0.0019406
5,560.209,2.37439,3.41134,2.64018,0.02269,0.32353,0.01785,0.0035,3.35126,5.48234,3.71754,0.0019208,0.0019208,0.0019208
6,674.73,2.41741,3.37045,2.70468,0.01765,0.72059,0.02711,0.00664,2.88939,4.80102,3.2887,0.001901,0.001901,0.001901
