epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.621,0.61479,2.76863,0.98146,0.49024,0.56576,0.49089,0.31701,0.7412,2.85755,1.18967,0.000661064,0.000661064,0.000661064
2,222.79,0.91039,2.73295,1.10914,0.6683,0.54412,0.61695,0.41545,0.8814,3.71938,1.26677,0.00131459,0.00131459,0.00131459
3,332.173,0.87184,2.49821,1.0979,0.4133,0.32353,0.36743,0.18401,1.57323,3.68659,2.27121,0.00195491,0.00195491,0.00195491
4,441.707,0.90625,2.58598,1.09361,0.27345,0.32353,0.21413,0.12276,1.39569,3.63066,1.7672,0.0019406,0.0019406,0.0019406
5,551.087,0.93717,2.31417,1.13866,0.78001,0.52941,0.66143,0.41864,1.0287,2.7766,1.4576,0.0019208,0.0019208,0.0019208
6,660.881,0.95822,2.14361,1.13357,0.25805,0.52941,0.32012,0.19673,1.30456,3.26673,1.7433,0.001901,0.001901,0.001901
7,774.713,0.97978,1.96159,1.19213,0.50201,0.73529,0.67102,0.50693,0.77926,2.76048,1.2469,0.0018812,0.0018812,0.0018812
8,883.879,0.89649,1.80858,1.11407,0.70983,0.66176,0.7458,0.55884,0.79552,1.80832,1.20932,0.0018614,0.0018614,0.0018614
9,992.865,0.85374,1.80487,1.08681,0.74062,0.63235,0.77628,0.57763,0.8042,1.81396,1.22415,0.0018416,0.0018416,0.0018416
10,1101.75,0.87351,1.68805,1.11107,0.76126,0.83824,0.85104,0.62151,0.71836,1.5716,1.17667,0.0018218,0.0018218,0.0018218
11,1210.15,0.79384,1.5967,1.04839,0.7726,0.67647,0.82726,0.62306,0.69085,1.52871,1.14468,0.001802,0.001802,0.001802
12,1319.77,0.78765,1.35173,1.05271,0.81555,0.77941,0.86303,0.64517,0.7084,1.5688,1.14291,0.0017822,0.0017822,0.0017822
13,1428.8,0.82541,1.53512,1.10179,0.87058,0.76471,0.91249,0.76846,0.61694,1.3608,1.07496,0.0017624,0.0017624,0.0017624
14,1537.47,0.7173,1.25198,1.02211,0.92958,0.82353,0.93104,0.75297,0.66666,1.12622,1.09138,0.0017426,0.0017426,0.0017426
15,1646.2,0.77109,1.20007,1.00814,0.63235,0.86004,0.79373,0.58071,0.73807,1.33284,1.16584,0.0017228,0.0017228,0.0017228
16,1754.78,0.77513,1.20819,1.04467,0.9658,0.83064,0.93944,0.76391,0.64329,1.14803,1.09002,0.001703,0.001703,0.001703
17,1863.58,0.76782,1.2252,1.03893,0.87483,0.82224,0.91293,0.72855,0.70574,1.04311,1.10526,0.0016832,0.0016832,0.0016832
18,1972.98,0.83213,1.12918,1.06282,0.86463,0.84545,0.89218,0.7141,0.62716,1.06615,1.06173,0.0016634,0.0016634,0.0016634
