epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.315,0.73398,2.57751,1.08593,0.51387,0.73529,0.61992,0.43493,0.60812,2.52643,1.07715,0.000658333,0.000658333,0.000658333
2,228.123,0.93084,2.13419,1.17224,0.42066,0.51471,0.42446,0.30772,0.94583,3.22367,1.38309,0.00131188,0.00131188,0.00131188
3,341.845,1.09477,2.79518,1.28847,0.4179,0.3801,0.3335,0.1883,1.28747,3.71849,1.7491,0.00195223,0.00195223,0.00195223
4,454.335,1.01906,2.25123,1.30445,0.44151,0.38367,0.42223,0.23349,1.14185,5.25679,1.72144,0.0019406,0.0019406,0.0019406
5,564.971,0.98207,2.07641,1.21716,0.10281,0.17647,0.06198,0.02479,2.40458,11.0876,3.98699,0.0019208,0.0019208,0.0019208
6,675.284,1.09818,2.28569,1.34986,0.57633,0.62017,0.59381,0.40366,0.90722,2.35059,1.27558,0.001901,0.001901,0.001901
