epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.155,0.59826,2.00508,0.97589,0.67369,0.85965,0.79091,0.5713,0.67006,7.99548,1.16882,0.000664762,0.000664762,0.000664762
2,607.969,0.76403,1.69854,1.05629,0.7981,0.5614,0.65773,0.44709,0.94908,8.37166,1.53736,0.00131825,0.00131825,0.00131825
3,909.976,0.84666,1.57962,1.11579,0.59939,0.66667,0.63831,0.34397,1.07989,7.90561,1.38888,0.00195853,0.00195853,0.00195853
4,1211.64,0.8739,1.45877,1.12136,0.86787,0.80667,0.86075,0.65355,0.74232,4.62303,1.10693,0.0019406,0.0019406,0.0019406
5,1513.15,0.83519,1.21019,1.0931,0.77351,0.77896,0.81394,0.60637,0.7274,3.4017,1.06783,0.0019208,0.0019208,0.0019208
6,1814.04,0.81406,1.14506,1.07538,0.78573,0.66667,0.80797,0.6269,0.66976,2.16509,1.05763,0.001901,0.001901,0.001901
7,2114.23,0.73111,0.94247,1.04023,0.93273,0.87719,0.91973,0.77353,0.53016,1.99493,0.94593,0.0018812,0.0018812,0.0018812
8,2416.61,0.68407,0.80489,1.02414,0.91592,0.89474,0.92799,0.7763,0.61655,2.61797,1.00465,0.0018614,0.0018614,0.0018614
9,2719.82,0.68249,0.76783,1.01279,0.90474,0.83322,0.88138,0.77752,0.49128,4.53643,0.88126,0.0018416,0.0018416,0.0018416
10,3023.34,0.66934,0.85572,1.00742,0.85382,0.92234,0.93266,0.83163,0.47043,1.39798,0.88631,0.0018218,0.0018218,0.0018218
11,3326.8,0.66547,0.7927,0.99814,0.93885,0.89474,0.92315,0.83409,0.4529,2.23054,0.86977,0.001802,0.001802,0.001802
12,3626.02,0.58841,0.67087,0.96367,0.97047,0.91228,0.94134,0.87395,0.38591,1.4246,0.82051,0.0017822,0.0017822,0.0017822
13,3925.5,0.58609,0.73839,0.95262,0.90054,0.91228,0.92612,0.83634,0.44483,1.35055,0.85946,0.0017624,0.0017624,0.0017624
14,4224.95,0.57278,0.64916,0.94726,0.93818,0.91228,0.96575,0.89496,0.37825,1.36158,0.81112,0.0017426,0.0017426,0.0017426
15,4524.99,0.55339,0.62998,0.94637,0.91414,0.93404,0.95994,0.82591,0.47861,2.67009,0.91664,0.0017228,0.0017228,0.0017228
16,4825.75,0.56496,0.64236,0.94869,0.91492,0.94335,0.96837,0.85869,0.43756,1.40742,0.87862,0.001703,0.001703,0.001703
17,5127.72,0.54754,0.63514,0.95737,0.94707,0.94174,0.97289,0.89438,0.37727,1.12007,0.79718,0.0016832,0.0016832,0.0016832
18,5429.03,0.50053,0.5558,0.92495,0.96469,0.95877,0.96458,0.90376,0.36355,1.52311,0.79656,0.0016634,0.0016634,0.0016634
19,5730.07,0.5198,0.57217,0.92196,0.89297,0.92982,0.93893,0.86078,0.33594,1.89276,0.78785,0.0016436,0.0016436,0.0016436
20,6030.06,0.48546,0.55789,0.92761,0.95226,0.91228,0.9311,0.89565,0.31242,2.23922,0.76906,0.0016238,0.0016238,0.0016238
21,6330.16,0.47867,0.50502,0.91094,0.94505,0.91228,0.97054,0.92043,0.33716,0.90756,0.78139,0.001604,0.001604,0.001604
22,6630.25,0.48707,0.53082,0.92599,0.98212,0.9637,0.98542,0.92461,0.34624,0.47328,0.79037,0.0015842,0.0015842,0.0015842
23,6929.59,0.4979,0.53869,0.93711,0.96278,0.90775,0.94147,0.90124,0.33222,2.263,0.78061,0.0015644,0.0015644,0.0015644
24,7229.38,0.48806,0.55696,0.91986,0.60187,0.10526,0.24295,0.20396,1.09064,3.17004,1.39481,0.0015446,0.0015446,0.0015446
25,7531.32,0.47927,0.58867,0.92307,0.94637,0.92884,0.97664,0.92227,0.31599,1.40303,0.77097,0.0015248,0.0015248,0.0015248
26,7830.24,0.47034,0.49054,0.91515,0.99736,0.94737,0.98198,0.91439,0.30298,1.53267,0.77189,0.001505,0.001505,0.001505
27,8128.99,0.45676,0.48389,0.90401,0.99886,0.94737,0.98466,0.95015,0.30413,0.56908,0.76503,0.0014852,0.0014852,0.0014852
28,8427.59,0.45763,0.48498,0.89646,0.96543,0.97993,0.98496,0.95808,0.26549,0.92131,0.73315,0.0014654,0.0014654,0.0014654
29,8726.4,0.44233,0.50449,0.91028,0.98206,0.96058,0.98889,0.93847,0.26961,0.41966,0.74611,0.0014456,0.0014456,0.0014456
30,9025.13,0.42266,0.5012,0.90016,0.94821,0.96364,0.98063,0.94943,0.27884,1.30368,0.74208,0.0014258,0.0014258,0.0014258
31,9323.63,0.42867,0.50046,0.91986,0.96481,0.96196,0.98457,0.93386,0.30948,0.87666,0.77252,0.001406,0.001406,0.001406
32,9622.29,0.41566,0.45565,0.91476,0.94894,0.98246,0.98921,0.93963,0.29449,1.49277,0.76961,0.0013862,0.0013862,0.0013862
33,9921.14,0.43796,0.46624,0.89827,0.99363,0.98246,0.98938,0.93519,0.30828,0.80312,0.77185,0.0013664,0.0013664,0.0013664
