epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,310.992,0.53044,0.35491,0.54011,0.89,0,0.95619,0.99167,0.98905,0.89312,0.95619,0.99167,0.98905,0.87979,0.31467,0.34334,1.56051,0.53666,0,0.0014456,0.0014456,0.0014456
30,321.052,0.52817,0.30549,0.52528,0.87907,0,0.91662,0.99167,0.98154,0.87598,0.91662,0.99167,0.98154,0.85164,0.30964,0.46797,0.49183,0.53603,0,0.0014258,0.0014258,0.0014258
31,330.372,0.5455,0.28897,0.54181,0.90378,0,0.97117,0.98333,0.98427,0.88153,0.97117,0.98333,0.98427,0.8689,0.30767,0.37125,4.35171,0.53566,0,0.001406,0.001406,0.001406
32,340.43,0.53067,0.32298,0.50786,0.88219,0,0.95922,0.98004,0.9859,0.88083,0.95922,0.98004,0.9859,0.85808,0.30826,0.35769,0.99614,0.53355,0,0.0013862,0.0013862,0.0013862
33,349.805,0.51654,0.29288,0.49719,0.8764,0,0.95956,0.98862,0.98707,0.8999,0.95148,0.98042,0.98556,0.88923,0.28525,0.29506,0.68314,0.53461,0,0.0013664,0.0013664,0.0013664
34,359.254,0.51619,0.28196,0.51763,0.8892,0,0.9715,0.93333,0.9777,0.87255,0.9715,0.93333,0.9777,0.88218,0.31252,0.30941,1.34136,0.53729,0,0.0013466,0.0013466,0.0013466
35,369.244,0.51533,0.36723,0.51943,0.89027,0,0.95057,0.99167,0.98801,0.89664,0.95057,0.99167,0.98801,0.9354,0.3092,0.17939,0.55558,0.54317,0,0.0013268,0.0013268,0.0013268
36,378.389,0.50236,0.28681,0.49303,0.88529,0,0.95145,0.97988,0.98079,0.87417,0.95145,0.97988,0.98079,0.89858,0.31661,0.22648,1.4891,0.53293,0,0.001307,0.001307,0.001307
37,387.537,0.52269,0.30388,0.5039,0.87952,0,0.96494,1,0.97973,0.87653,0.96494,1,0.97973,0.91075,0.32065,0.1825,1.90232,0.53727,0,0.0012872,0.0012872,0.0012872
38,397.046,0.50886,0.30716,0.49579,0.89041,0,0.96575,0.99167,0.98467,0.88001,0.96575,0.99167,0.98467,0.91,0.29524,0.17032,2.4847,0.53186,0,0.0012674,0.0012674,0.0012674
39,406.922,0.47346,0.29244,0.45834,0.87295,0,0.98216,0.98333,0.9869,0.8878,0.98216,0.98333,0.9869,0.91063,0.28658,0.19509,1.14539,0.53162,0,0.0012476,0.0012476,0.0012476
40,415.765,0.51161,0.31496,0.49407,0.87762,0,0.98013,0.99167,0.99136,0.89445,0.98013,0.99167,0.99136,0.93036,0.27701,0.16774,0.53499,0.53177,0,0.0012278,0.0012278,0.0012278
41,426.275,0.47231,0.31885,0.45212,0.87463,0,0.95537,0.975,0.98916,0.91654,0.94476,0.96667,0.98126,0.91121,0.27164,0.24233,0.33339,0.52916,0,0.001208,0.001208,0.001208
42,436.44,0.46588,0.30847,0.43481,0.87075,0,0.9434,0.99167,0.98347,0.89285,0.9434,0.99167,0.98347,0.9086,0.27553,0.14073,0.32987,0.53022,0,0.0011882,0.0011882,0.0011882
43,446.144,0.44752,0.28712,0.4321,0.85683,0,0.9815,0.99167,0.9905,0.91037,0.9815,0.99167,0.9905,0.93289,0.2685,0.14797,0.44748,0.52481,0,0.0011684,0.0011684,0.0011684
44,455.651,0.47679,0.33012,0.43411,0.88097,0,0.98165,1,0.99091,0.91704,0.98165,1,0.99091,0.91084,0.27832,0.1695,0.34209,0.5252,0,0.0011486,0.0011486,0.0011486
45,464.808,0.44964,0.29734,0.43444,0.86437,0,0.98113,1,0.99041,0.91197,0.98113,1,0.99041,0.90429,0.27064,0.21243,0.41369,0.52642,0,0.0011288,0.0011288,0.0011288
46,474.799,0.44208,0.27275,0.44808,0.87129,0,0.96394,1,0.98353,0.92215,0.96394,1,0.98353,0.91533,0.25454,0.18237,0.30362,0.52343,0,0.001109,0.001109,0.001109
47,483.739,0.4515,0.27604,0.4439,0.86249,0,0.97559,0.99922,0.9921,0.9191,0.97559,0.99922,0.9921,0.93105,0.25917,0.21653,0.682,0.52347,0,0.0010892,0.0010892,0.0010892
48,493.332,0.43451,0.28185,0.40766,0.86033,0,0.98332,0.98268,0.99374,0.92851,0.98332,0.98268,0.99374,0.94996,0.24948,0.17712,0.23519,0.51899,0,0.0010694,0.0010694,0.0010694
49,503.137,0.43747,0.24552,0.39338,0.85593,0,0.96623,1,0.99357,0.92643,0.96623,1,0.99357,0.94835,0.25736,0.15954,0.22795,0.51918,0,0.0010496,0.0010496,0.0010496
50,513.253,0.46486,0.35268,0.44915,0.8797,0,0.95236,0.99959,0.99128,0.92045,0.95236,0.99959,0.99128,0.93531,0.26868,0.14206,0.56478,0.52585,0,0.0010298,0.0010298,0.0010298
51,522.399,0.44398,0.26837,0.4186,0.86429,0,0.97533,0.98833,0.99107,0.91548,0.97533,0.98833,0.99107,0.93824,0.25945,0.14874,6.1352,0.52178,0,0.00101,0.00101,0.00101
52,531.932,0.4194,0.25355,0.39701,0.85578,0,0.98358,0.99851,0.99089,0.92277,0.98358,0.99851,0.99089,0.92876,0.26329,0.16054,2.15088,0.52357,0,0.0009902,0.0009902,0.0009902
