# Columns:
# 1: X
# 2: Y
# 3: computed depth
# 4: measured depth
# 5: difference between computed and measured depth
# frame: ./0000_depth.png
# frame: ./0000_sync_depth.png
# frame: ./0001_depth.png
# frame: ./0001_sync_depth.png
# frame: ./0002_depth.png
# frame: ./0002_sync_depth.png
# frame: ./0003_depth.png
# frame: ./0003_sync_depth.png
# frame: ./0004_depth.png
# frame: ./0004_sync_depth.png
# frame: ./0005_depth.png
# frame: ./0005_sync_depth.png
# frame: ./0006_depth.png
# frame: ./0006_sync_depth.png
# frame: ./0007_depth.png
# frame: ./0007_sync_depth.png
# frame: ./0008_depth.png
# frame: ./0008_sync_depth.png
# frame: ./0009_depth.png
# frame: ./0009_sync_depth.png
# frame: ./0010_depth.png
# frame: ./0010_sync_depth.png
# frame: ./0011_depth.png
# frame: ./0011_sync_depth.png
# frame: ./0012_depth.png
# frame: ./0012_sync_depth.png
210 233 0.582043 0.503 0.0790435
211 233 0.581774 0.503 0.0787738
212 233 0.581504 0.505 0.0765044
213 233 0.581235 0.503 0.0782352
214 233 0.580966 0.502 0.0789663
216 237 0.579712 0.501 0.0787121
216 247 0.577927 0.499 0.0789273
215 251 0.577482 0.498 0.0794818
216 251 0.577216 0.498 0.0792164
216 253 0.576862 0.498 0.0788616
215 254 0.576949 0.497 0.0799493
216 254 0.576684 0.497 0.0796844
216 255 0.576507 0.5 0.0765072
215 256 0.576595 0.497 0.0795949
216 256 0.57633 0.499 0.0773302
188 257 0.583652 0.504 0.0796519
215 257 0.576418 0.497 0.0794178
216 257 0.576153 0.498 0.0781533
212 258 0.577035 0.498 0.0790353
# frame: ./0013_depth.png
# frame: ./0013_sync_depth.png
# frame: ./0014_depth.png
# frame: ./0014_sync_depth.png
# frame: ./0015_depth.png
# frame: ./0015_sync_depth.png
# frame: ./0016_depth.png
# frame: ./0016_sync_depth.png
# frame: ./0017_depth.png
# frame: ./0017_sync_depth.png
# frame: ./0018_depth.png
# frame: ./0018_sync_depth.png
# frame: ./0019_depth.png
# frame: ./0019_sync_depth.png
# frame: ./0020_depth.png
# frame: ./0020_sync_depth.png
# frame: ./0021_depth.png
# frame: ./0021_sync_depth.png
# frame: ./0022_depth.png
# frame: ./0022_sync_depth.png
# frame: ./0023_depth.png
# frame: ./0023_sync_depth.png
# frame: ./0024_depth.png
# frame: ./0024_sync_depth.png
# frame: ./0025_depth.png
# frame: ./0025_sync_depth.png
# frame: ./0026_depth.png
# frame: ./0026_sync_depth.png
# frame: ./0027_depth.png
# frame: ./0027_sync_depth.png
# frame: ./0028_depth.png
103 55 0.562247 0.483 0.0792466
104 55 0.562206 0.483 0.0792059
99 56 0.561875 0.483 0.0788751
100 56 0.561834 0.484 0.0778344
101 56 0.561794 0.482 0.0797936
103 56 0.561712 0.482 0.0797122
104 56 0.561671 0.482 0.0796715
101 58 0.560727 0.482 0.0787275
102 58 0.560687 0.481 0.0796869
103 58 0.560646 0.481 0.0796464
105 58 0.560565 0.481 0.0795653
106 58 0.560525 0.481 0.0795247
106 59 0.559994 0.48 0.0799936
101 60 0.559665 0.48 0.0796654
102 60 0.559625 0.48 0.079625
103 60 0.559585 0.48 0.0795846
105 60 0.559504 0.481 0.0785038
106 60 0.559463 0.48 0.0794634
105 61 0.558975 0.481 0.0779745
106 61 0.558934 0.48 0.0789342
102 62 0.558567 0.479 0.079567
103 62 0.558527 0.48 0.0785268
104 62 0.558487 0.48 0.0784865
105 62 0.558446 0.481 0.0774463
106 62 0.558406 0.48 0.0784061
103 63 0.557999 0.478 0.0799994
104 63 0.557959 0.479 0.0789592
105 63 0.557919 0.479 0.078919
106 63 0.557879 0.478 0.0798789
83 64 0.558276 0.479 0.0792761
84 64 0.558236 0.479 0.0792359
90 64 0.557995 0.478 0.0799947
101 64 0.557553 0.478 0.0795532
102 64 0.557513 0.479 0.0785131
103 64 0.557473 0.479 0.078473
104 64 0.557433 0.479 0.0784329
105 64 0.557393 0.478 0.0793928
106 64 0.557353 0.478 0.0793527
79 65 0.55791 0.478 0.0799097
83 65 0.557749 0.478 0.0797491
84 65 0.557709 0.478 0.079709
85 65 0.557669 0.478 0.0796689
102 65 0.556988 0.479 0.0779876
103 65 0.556948 0.479 0.0779476
104 65 0.556908 0.479 0.0779075
105 65 0.556868 0.478 0.0788675
106 65 0.556828 0.478 0.0788275
94 66 0.556783 0.478 0.0787829
95 66 0.556743 0.478 0.0787429
98 66 0.556623 0.478 0.078623
99 66 0.556583 0.479 0.077583
100 66 0.556543 0.479 0.077543
101 66 0.556503 0.479 0.0775031
102 66 0.556463 0.48 0.0764631
103 66 0.556423 0.481 0.0754231
104 66 0.556383 0.482 0.0743832
105 66 0.556343 0.479 0.0773433
106 66 0.556303 0.479 0.0773033
93 67 0.556299 0.477 0.0792987
94 67 0.556259 0.477 0.0792588
95 67 0.556219 0.477 0.0792189
98 67 0.556099 0.477 0.0790991
99 67 0.556059 0.478 0.0780592
100 67 0.556019 0.479 0.0770194
101 67 0.555979 0.479 0.0769795
102 67 0.55594 0.48 0.0759396
103 67 0.5559 0.482 0.0738997
104 67 0.55586 0.484 0.0718598
105 67 0.55582 0.481 0.07482
106 67 0.55578 0.479 0.0767801
93 68 0.555776 0.477 0.0787755
94 68 0.555736 0.477 0.0787357
98 68 0.555576 0.476 0.0795763
100 68 0.555497 0.477 0.0784967
101 68 0.555457 0.477 0.0784569
102 68 0.555417 0.477 0.0784171
103 68 0.555377 0.479 0.0763773
104 68 0.555337 0.482 0.0733375
105 68 0.555298 0.48 0.0752977
106 68 0.555258 0.478 0.0772579
75 69 0.55597 0.476 0.0799702
76 69 0.55593 0.476 0.0799304
77 69 0.55589 0.477 0.0788905
78 69 0.555851 0.476 0.0798506
79 69 0.555811 0.476 0.0798108
80 69 0.555771 0.476 0.0797709
81 69 0.555731 0.476 0.0797311
82 69 0.555691 0.477 0.0786912
83 69 0.555651 0.476 0.0796514
84 69 0.555612 0.477 0.0786115
85 69 0.555572 0.477 0.0785717
86 69 0.555532 0.476 0.0795319
87 69 0.555492 0.477 0.0784921
88 69 0.555452 0.476 0.0794523
