Frame,Drift_Error_cm,Status,GridX,GridY
183,7.32516,OUTLIER,0,0
184,7.91391,OUTLIER,0,0
185,8.45797,OUTLIER,0,0
186,10.2415,OUTLIER,0,0
187,11.8534,OUTLIER,0,0
188,13.1161,OUTLIER,0,0
189,13.0238,OUTLIER,0,0
190,13.783,OUTLIER,0,0
191,13.7545,OUTLIER,0,0
192,12.7576,OUTLIER,0,0
193,11.8706,OUTLIER,0,0
194,10.1858,OUTLIER,0,0
195,9.96505,OUTLIER,0,0
196,6.4463,OUTLIER,0,0
197,6.77269,OUTLIER,0,0
198,4.62602,OK,0,0
199,5.68456,OUTLIER,0,0
200,6.43615,OUTLIER,0,0
201,8.36779,OUTLIER,0,0
202,7.92355,OUTLIER,0,0
203,9.36767,OUTLIER,0,0
204,8.39044,OUTLIER,0,0
205,9.25779,OUTLIER,0,0
206,9.86957,OUTLIER,0,0
207,10.1506,OUTLIER,0,0
208,10.1768,OUTLIER,0,0
209,11.6637,OUTLIER,0,0
210,11.1896,OUTLIER,0,0
211,10.9641,OUTLIER,0,0
212,10.8475,OUTLIER,0,0
213,11.004,OUTLIER,0,0
214,10.2567,OUTLIER,0,0
215,10.3178,OUTLIER,0,0
216,9.21652,OUTLIER,0,0
217,8.43842,OUTLIER,0,0
218,8.39274,OUTLIER,0,0
219,8.37435,OUTLIER,0,0
220,8.59582,OUTLIER,0,0
221,9.31996,OUTLIER,0,0
222,9.13892,OUTLIER,0,0
223,10.0872,OUTLIER,0,0
224,10.1313,OUTLIER,0,0
225,10.8581,OUTLIER,0,0
226,11.9604,OUTLIER,0,0
227,13.2102,OUTLIER,0,0
228,14.0854,OUTLIER,0,0
229,14.3517,OUTLIER,0,0
230,21.9953,OUTLIER,0,0
231,19.1663,OUTLIER,0,0
232,18.3224,OUTLIER,0,0
233,18.1506,OUTLIER,0,0
234,18.2215,OUTLIER,0,0
235,18.1499,OUTLIER,0,0
236,16.6055,OUTLIER,0,0
237,16.4251,OUTLIER,0,0
238,16.5353,OUTLIER,0,0
239,16.6071,OUTLIER,0,0
240,16.5141,OUTLIER,0,0
241,16.5346,OUTLIER,0,0
242,16.0382,OUTLIER,0,0
243,15.7296,OUTLIER,0,0
244,15.8185,OUTLIER,0,0
245,15.8365,OUTLIER,0,0
246,16.0091,OUTLIER,0,0
247,16.3288,OUTLIER,0,0
248,16.4019,OUTLIER,0,0
249,16.297,OUTLIER,0,0
250,16.3785,OUTLIER,0,0
251,16.8395,OUTLIER,0,0
252,16.7982,OUTLIER,0,0
253,15.4249,OUTLIER,0,0
254,15.3046,OUTLIER,0,0
255,15.1813,OUTLIER,0,0
256,14.9126,OUTLIER,0,0
257,15.006,OUTLIER,0,0
258,14.8342,OUTLIER,0,0
259,14.9641,OUTLIER,0,0
260,15.1101,OUTLIER,0,0
261,15.0216,OUTLIER,0,0
262,15.5214,OUTLIER,0,0
263,14.6216,OUTLIER,0,0
264,15.8455,OUTLIER,0,0
265,16.0058,OUTLIER,0,0
266,16.9116,OUTLIER,0,0
267,17.3818,OUTLIER,0,0
268,16.8163,OUTLIER,0,0
269,17.7482,OUTLIER,0,0
270,18.0027,OUTLIER,0,0
271,18.7243,OUTLIER,0,0
272,18.7553,OUTLIER,0,0
273,18.4763,OUTLIER,0,0
274,18.2205,OUTLIER,0,0
275,17.8949,OUTLIER,0,0
276,17.6801,OUTLIER,0,0
277,17.6,OUTLIER,0,0
278,16.8355,OUTLIER,0,0
279,16.611,OUTLIER,0,0
280,15.7184,OUTLIER,0,0
281,15.0075,OUTLIER,0,0
282,16.2789,OUTLIER,0,0
283,14.7764,OUTLIER,0,0
284,15.6788,OUTLIER,0,0
285,16.5461,OUTLIER,0,0
286,16.1624,OUTLIER,0,0
287,16.3542,OUTLIER,0,0
288,13.9506,OUTLIER,0,0
289,14.2091,OUTLIER,0,0
290,14.3687,OUTLIER,0,0
291,15.8041,OUTLIER,0,0
292,14.4403,OUTLIER,0,0
293,14.6864,OUTLIER,0,0
294,14.033,OUTLIER,0,0
295,14.4541,OUTLIER,0,0
296,14.2573,OUTLIER,0,0
297,14.8051,OUTLIER,0,0
298,14.3247,OUTLIER,0,0
299,13.8826,OUTLIER,0,0
300,13.9367,OUTLIER,0,0
301,13.2001,OUTLIER,0,0
302,13.0421,OUTLIER,0,0
303,12.0094,OUTLIER,0,0
304,15.3051,OUTLIER,0,0
305,13.379,OUTLIER,0,0
306,16.9847,OUTLIER,0,0
307,34.7985,OUTLIER,0,0
308,23.4152,OUTLIER,0,0
309,18.2924,OUTLIER,0,0
310,17.5533,OUTLIER,0,0
311,18.0657,OUTLIER,0,0
