epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.18,0.62141,2.25608,1.00664,0.59809,0.78947,0.67693,0.39342,0.75231,7.2958,1.33036,0.000662132,0.000662132,0.000662132
2,264.788,0.75262,1.98799,1.02936,0.81565,0.54337,0.62898,0.44326,0.76709,5.98961,1.17391,0.00131564,0.00131564,0.00131564
3,398.539,0.79555,1.83332,1.06226,0.2957,0.57895,0.34062,0.13096,1.91631,7.60578,2.73381,0.00195595,0.00195595,0.00195595
4,531.739,0.89977,1.96278,1.11859,0.70304,0.7193,0.72845,0.50438,0.75442,6.08752,1.17726,0.0019406,0.0019406,0.0019406
5,663.695,0.83796,1.57337,1.08936,0.59847,0.67993,0.59441,0.40621,0.99738,10.1547,1.51384,0.0019208,0.0019208,0.0019208
6,793.331,0.86806,1.63531,1.08321,0.72594,0.73684,0.78221,0.58033,0.7617,7.36093,1.2306,0.001901,0.001901,0.001901
7,922.623,0.8249,1.64174,1.06184,0.75592,0.84211,0.84032,0.66188,0.60057,7.46888,0.99343,0.0018812,0.0018812,0.0018812
8,1053.17,0.81896,1.30987,1.06664,0.6588,0.78947,0.74334,0.54768,0.74363,5.10394,1.12363,0.0018614,0.0018614,0.0018614
9,1184.3,0.78634,1.22382,1.05039,0.7937,0.87719,0.89245,0.73807,0.59569,5.06168,1.05759,0.0018416,0.0018416,0.0018416
10,1313.8,0.76498,1.08345,1.02154,0.85564,0.82456,0.90819,0.71928,0.64276,5.59578,1.07419,0.0018218,0.0018218,0.0018218
11,1450.71,0.70338,0.99655,1.02831,0.95783,0.77193,0.91598,0.77513,0.60954,2.45389,1.00971,0.001802,0.001802,0.001802
12,1586.25,0.744,1.03583,1.0248,0.83231,0.87087,0.88683,0.71952,0.59629,3.21282,0.99656,0.0017822,0.0017822,0.0017822
13,1720.34,0.73108,1.09382,1.02166,0.80332,0.78823,0.82957,0.69768,0.63538,3.01512,0.99363,0.0017624,0.0017624,0.0017624
14,1853.67,0.68969,1.04163,1.00007,0.85272,0.71113,0.82495,0.70256,0.68263,3.14578,1.08818,0.0017426,0.0017426,0.0017426
15,1988.48,0.70049,1.0951,0.96477,0.8265,0.78947,0.8269,0.6506,0.71141,3.20902,1.07473,0.0017228,0.0017228,0.0017228
16,2120.78,0.70432,0.96382,0.98619,0.80257,0.91228,0.92419,0.77518,0.49976,3.95773,0.89047,0.001703,0.001703,0.001703
17,2252.86,0.69259,1.06452,0.99303,0.86105,0.86979,0.8679,0.73723,0.56158,2.40115,0.8962,0.0016832,0.0016832,0.0016832
18,2385.67,0.65983,1.01126,0.9811,0.85521,0.87719,0.87855,0.76358,0.49959,2.99934,0.88889,0.0016634,0.0016634,0.0016634
19,2517.87,0.63847,0.85117,0.96397,0.75527,0.92049,0.8946,0.78474,0.48009,3.0051,0.91225,0.0016436,0.0016436,0.0016436
20,2648.82,0.62361,0.84582,0.9531,0.85065,0.89474,0.93198,0.82648,0.47817,1.6924,0.88186,0.0016238,0.0016238,0.0016238
21,2780.92,0.65185,0.78595,0.97934,0.80843,0.88852,0.90779,0.78796,0.51835,3.04937,0.93051,0.001604,0.001604,0.001604
22,2913.14,0.61022,0.7413,0.93084,0.90662,0.92982,0.95628,0.84199,0.48356,2.31142,0.8925,0.0015842,0.0015842,0.0015842
23,3045.69,0.61607,0.77454,0.95988,0.96197,0.88759,0.9313,0.82468,0.48039,2.08028,0.89887,0.0015644,0.0015644,0.0015644
24,3178.63,0.57808,0.75909,0.95551,0.92733,0.85965,0.95265,0.84087,0.44629,2.64615,0.87542,0.0015446,0.0015446,0.0015446
25,3310.91,0.61764,0.8767,0.96215,0.89439,0.89151,0.93395,0.80535,0.47493,1.41127,0.89626,0.0015248,0.0015248,0.0015248
26,3443.02,0.64818,0.77037,0.97732,0.94319,0.96491,0.97713,0.86014,0.44769,1.34692,0.88369,0.001505,0.001505,0.001505
27,3575.17,0.599,0.80329,0.93958,0.91852,0.94737,0.96801,0.87081,0.41823,1.20571,0.87463,0.0014852,0.0014852,0.0014852
28,3707.56,0.57532,0.79433,0.95558,0.96456,0.95512,0.98078,0.88862,0.37869,1.12455,0.84258,0.0014654,0.0014654,0.0014654
29,3840.37,0.54218,0.74915,0.94411,0.93137,0.96491,0.96162,0.8744,0.40145,1.26411,0.87727,0.0014456,0.0014456,0.0014456
30,3974.03,0.55704,0.72841,0.93029,0.94403,0.88776,0.92043,0.8551,0.45178,1.97418,0.85803,0.0014258,0.0014258,0.0014258
31,4106.62,0.56645,0.64677,0.93058,0.9633,0.96491,0.96478,0.90945,0.36312,1.32493,0.83167,0.001406,0.001406,0.001406
32,4241.41,0.5256,0.77811,0.92111,0.96483,0.96255,0.96443,0.8845,0.41227,1.1044,0.84688,0.0013862,0.0013862,0.0013862
33,4373.53,0.63592,0.75188,0.9825,0.96238,0.94737,0.97264,0.88739,0.39522,0.83348,0.8305,0.0013664,0.0013664,0.0013664
34,4505.84,0.59379,0.70746,0.94478,0.98,0.96491,0.97847,0.8949,0.38906,0.71806,0.83261,0.0013466,0.0013466,0.0013466
35,4637.88,0.52738,0.67447,0.93755,1,0.91189,0.96713,0.86887,0.4151,1.69405,0.87801,0.0013268,0.0013268,0.0013268
36,4769.98,0.54679,0.61517,0.9469,0.9284,0.91003,0.95921,0.85431,0.43948,3.04999,0.91282,0.001307,0.001307,0.001307
