seq,timestamp_pc_us,timestamp_pc_iso,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_acc,j2_acc,j3_acc,j4_acc,j5_acc,j6_acc,command_sent
0,1768256250842974,2026-01-12T22:17:30.842977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"<0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000>"
1,1768256250893502,2026-01-12T22:17:30.893506,0.0004822560943185402,7.423134347100512e-06,0.0005246394702552701,0.001,0.0008428821038585593,0.00017763089441308466,0.00964512188637075,0.0001484626869420094,0.010492789405105344,0.01999999999999989,0.016857642077171095,0.0035526178882616735,0.09645121886364129,0.0014846268694190799,0.10492789405098225,0.19999999999986331,0.1685764207715994,0.035526178882592734,"<1,0.0005,0.0000,0.0005,0.0010,0.0008,0.0002>"
2,1768256250945152,2026-01-12T22:17:30.945157,0.0019290243772741565,2.969253738840198e-05,0.0020985578810210756,0.003999999999999991,0.00337152841543423,0.000710523577652337,0.01929024377274163,0.0002969253738840208,0.020985578810210827,0.04000000000000005,0.03371528415434241,0.007105235776523395,0.09645121886380505,0.0014846268694215822,0.10492789405115724,0.2000000000002054,0.16857642077187945,0.03552617888265343,"<2,0.0019,0.0000,0.0021,0.0040,0.0034,0.0007>"
3,1768256250995822,2026-01-12T22:17:30.995827,0.004340304848866845,6.680820912390435e-05,0.004721755232297412,0.008999999999999966,0.0075859389347270045,0.0015986780497177558,0.028935365659112665,0.0004453880608260346,0.03147836821531648,0.060000000000000525,0.050572926231514,0.010657853664785171,0.09645121886412265,0.0014846268694264893,0.10492789405150654,0.20000000000086182,0.16857642077243698,0.03552617888276989,"<3,0.0043,0.0001,0.0047,0.0090,0.0076,0.0016>"
4,1768256251047745,2026-01-12T22:17:31.047749,0.007716097509096602,0.00011877014955360755,0.008394231524084276,0.015999999999999914,0.013486113661736876,0.0028420943106093393,0.03858048754548201,0.0005938507477680225,0.0419711576204203,0.0799999999999975,0.06743056830868265,0.014210471553046328,0.096451218862756,0.0014846268694055664,0.10492789405002634,0.19999999999803214,0.1685764207700618,0.0355261788822673,"<4,0.0077,0.0001,0.0084,0.0160,0.0135,0.0028>"
5,1768256251098402,2026-01-12T22:17:31.098406,0.012056402357963427,0.0001855783586775116,0.013115986756381669,0.02499999999999984,0.021072052596463848,0.0044407723603270876,0.04822560943185359,0.0007423134347100445,0.052463947025526536,0.09999999999999912,0.08428821038585518,0.017763089441308305,0.09645121886362712,0.0014846268694187416,0.10492789405096085,0.1999999999998307,0.16857642077156543,0.035526178882585226,"<5,0.0121,0.0002,0.0131,0.0250,0.0211,0.0044>"
6,1768256251150117,2026-01-12T22:17:31.150125,0.017361219395467333,0.00026723283649561665,0.018887020929189598,0.03599999999999976,0.030343755738907935,0.006394712198871005,0.05787073131822519,0.0008907761216520671,0.0629567364306328,0.12000000000000077,0.10114585246302776,0.021315707329570294,0.09645121886450836,0.0014846268694324025,0.10492789405192536,0.20000000000166257,0.16857642077310586,0.035526178882911354,"<6,0.0174,0.0003,0.0189,0.0360,0.0303,0.0064>"
7,1768256251200789,2026-01-12T22:17:31.200793,0.02363054726140827,0.0003637335620710225,0.025707332562765996,0.048999997179506455,0.04130122071172587,0.008703913325234357,0.06751583754540506,0.0010392385675597401,0.07344950880032956,0.13999996752930496,0.11800346717123056,0.02486831945003325,0.09645121886309008,0.0014846268694105286,0.10492789405036822,0.19999999999870685,0.16857642077060828,0.03552617888238458,"<7,0.0236,0.0004,0.0257,0.0490,0.0413,0.0087>"
8,1768256251252357,2026-01-12T22:17:31.252361,0.030864387110267337,0.0004750805531740974,0.033576922913054245,0.063999993932437,0.05394444953270752,0.011368376164650775,0.07716095943177317,0.0011877012545017088,0.08394229820543203,0.15999996752929938,0.13486110924839703,0.02842093733829395,0.09645121885950851,0.001484626869355161,0.10492789404646276,0.19999999999127702,0.16857642076435966,0.03552617888106531,"<8,0.0309,0.0005,0.0336,0.0640,0.0539,0.0114>"
9,1768256251303117,2026-01-12T22:17:31.303122,0.03906273910056248,0.0006012738122448311,0.04249579215250374,0.08099999058749215,0.06827344247890887,0.01438810077550767,0.08680607987522555,0.0013361639192335751,0.09443508604080726,0.1799999645372824,0.15171874880365055,0.031973554695081,0.09645121886276703,0.00148462686940563,0.10492789405003859,0.19999999999806964,0.16857642077007803,0.035526178882268514,"<9,0.0391,0.0006,0.0425,0.0810,0.0683,0.0144>"
